0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.059233136,0.041138463,0.051687047,0.028575674,0.058838196,-0.04482925,-0.053017363,0.04728791,-0.027697988,-0.013694733,0.057087697,0.038680904,-0.003772214,-0.005125016,-0.04640414,-0.013034113
-0.009758912,0.006868981,0.010931112,0.0014103428,0.057128713,-0.023387209,0.023079574,-0.009223275,0.018743694,-0.018197052,-0.058011524,-0.01580447,0.01649233,0.011017516,0.011535026,0.008921169
0.053078264,-0.054240584,0.005998023,0.008970037,-0.0012708157,0.05440274,0.047384493,0.006779842,0.017833851,-0.0012048632,-0.05059313,-0.0014512092,0.057864197,-0.021168776,-0.024009094,-0.03325954
0.043191426,0.040504023,0.03808707,0.00993222,-0.0016286299,0.00960017,-0.046729125,-0.036862724,0.012485765,-0.0010472313,0.026266128,-0.028912947,0.030711733,-0.020585299,0.040367126,-0.019764043
-0.014768198,0.0235776,-0.024561614,-0.024097167,-0.018203087,-0.003981054,0.0064976662,0.020317435,0.05539222,0.03197167,0.060246587,-0.024465255,-0.006440714,0.05656092,0.031700753,0.0124459565
-0.018690862,0.056259006,0.042342253,-0.059149824,0.04994178,-0.027147688,0.00064548105,0.046215728,-0.025244273,-0.0062676966,-0.014963567,0.04900223,0.021616444,-0.04807587,-0.05102536,-0.052222185
-0.009032682,-0.052769035,0.01751101,-0.031091139,0.008303046,0.04952628,0.04251212,0.013417646,0.043700553,-0.004961036,0.061561488,0.034064107,0.015611872,0.055220403,0.021572597,0.045507
-0.012939453,-0.04872924,-0.051841594,-0.031084485,0.047872297,-0.0042078793,0.05652842,0.03975743,0.030532658,0.051153176,0.049519807,-0.0020354167,-0.016006127,0.017539576,0.013378359,-0.0099791065
-0.01593668,0.008083299,0.031082295,-0.046758056,0.044734485,-0.051136024,-0.042531572,-0.045465566,0.03077773,-0.037783526,0.006642483,0.017446466,0.024833687,0.041668765,0.039807938,-0.057891816
-0.04748545,0.019806318,0.005820416,0.04109116,0.008286536,-0.049662508,0.017213188,0.00076444447,0.0264747,0.048824653,-0.022827245,0.02550742,-0.022216834,0.050850958,-0.014037766,-0.058064483
-0.0067256168,-0.030748129,-0.049517,0.042137258,0.057515234,-0.03402564,0.04649798,0.014071062,0.02720534,0.052493893,-0.04773295,-0.040866837,0.0519815,0.05999203,0.010336198,0.049720474
-0.03659261,0.0063859895,0.042198576,0.042523295,0.037546672,0.060408846,0.017619036,-0.015185542,-0.02825278,0.02595681,-0.041988507,-0.04972084,-0.024626441,0.0024686754,0.044010036,0.0036454946
0.03266591,0.03517574,-0.017277688,-0.038529217,0.04654231,0.0048089847,-0.014316089,-0.043735847,0.0035196915,-0.061155878,0.02919849,0.03748204,0.0042129233,-0.008815959,0.04058242,-0.043766208
0.049942486,0.0434751,0.05611922,0.04962048,-0.015625998,0.052970693,-0.055063523,-0.038749605,0.030628435,-0.061273083,-0.056764245,-0.024789937,-0.006357357,0.0050275773,-0.010007091,0.013576373
0.061865084,0.052661993,-0.03457158,-0.0022152737,-0.038622953,-0.04072489,0.0054939017,-0.038565166,-0.053897843,-0.030073464,0.03096275,0.043614663,0.035351507,0.0050936416,0.043417864,0.046853073
-0.043606676,0.04607392,0.0005940348,-0.035484135,-0.049616918,-0.046742,-0.014272593,-0.04005631,0.05925291,0.010261856,-0.049227737,-0.004570149,-0.018165186,0.058592044,-0.041378215,-0.0059334785
0.018859766,0.027270928,-0.003504835,-0.044082284,0.062323995,-0.041505143,0.042981125,-0.006770894,-0.0076558664,-0.015830219,0.049889535,-0.04147096,0.0118530765,0.002356641,0.007919058,-0.038775653
0.0023353174,0.028364405,0.024214879,-0.032890312,-0.039421245,0.04878495,-0.047036074,-0.046507157,-0.04939293,0.020980768,-0.04662238,-0.0037655607,0.059985705,0.015087664,-0.034383275,-0.034617886
-0.024401657,0.039657183,0.029509686,0.017401345,0.0368307,0.020895086,-0.04625147,0.05701729,0.023816884,-0.026654534,-0.014730319,0.018696338,0.03995733,0.048081815,0.048473343,-0.020976193
0.029052556,0.028543465,-0.02068244,-0.038814366,-0.014265835,0.008658491,-0.018386468,-0.053028278,-0.039305888,0.052134685,0.0583859,0.037255414,-0.025645629,0.0043423027,-0.053601295,0.041606404
0.02737771,-0.012740344,0.021421604,0.02912078,0.036696807,-0.03903208,0.03181141,0.008335881,-0.03604777,0.027006283,-0.054829225,-0.058180757,-0.035697654,-0.020713404,0.02818776,-0.056100287
-0.05231995,0.029240236,-0.02679035,-0.03574293,-0.038410187,0.0394124,0.0051745325,-0.058033206,-0.023501575,0.029750235,-0.0023159906,-0.017038845,-0.008724071,-0.039474674,-0.061754137,-0.037731744
-0.051356085,0.0010505766,0.037658885,0.05984529,-0.017763004,0.0114124045,0.039527558,-0.012496233,0.012228176,-0.058280557,0.00444033,0.02861844,0.028113775,-0.06091661,-0.032183453,0.018567182
-0.032857835,-0.051010594,0.050626323,-0.009218499,-0.03193511,0.053831197,-0.04304891,0.010808125,-0.040861458,0.053117037,-0.025237069,-0.032742716,-0.027537636,0.053357296,-0.011677638,-0.0020111278
0.03717172,0.041104726,-0.016071841,0.026992239,-0.0031057,-0.00810723,0.043523073,-0.017824024,-0.041008756,-0.042977422,0.024306223,0.031237714,-0.04236032,-0.0055406466,-0.04417508,-0.05694317
-0.05047933,-0.055256,-0.01815962,0.058121197,0.022515602,0.0046091825,-0.03627593,0.022840336,0.04652006,-0.010105453,0.056584284,-0.03350506,0.0470441,0.007893838,0.059624217,-0.031670883
-0.039354965,-0.008950166,0.0074890032,-0.03613518,-0.013222195,-0.01786416,0.0030347034,-0.008018903,0.034728855,-0.038314782,0.0018775985,0.029465154,-0.052978814,-0.013914093,0.026764378,0.030470453
-0.030393302,-0.036528923,0.05053454,-0.036023155,0.034352332,-0.019952588,0.057168223,-0.056569375,-0.04197721,0.029861867,-0.027607843,-0.032844566,-0.03155119,-0.028274767,0.02512028,0.011552423
0.035299025,0.020451933,-0.050662786,0.050312795,-0.0075806826,0.03780979,0.02225338,0.0047496706,0.015326217,0.016321175,0.04754152,0.032685257,0.050826423,0.059238218,0.05250767,0.014483623
-0.021707617,-0.015587866,-0.02073063,-0.041210115,0.00037279725,0.040399536,0.04652983,-0.03440249,-0.054143608,0.02980522,0.032403395,0.040117115,0.02731762,-0.053320713,0.02890294,-0.05762381
-0.052679196,-0.0032947734,0.044811748,0.041657478,0.030614763,-0.0077062473,0.004318379,0.053190485,-0.018234998,-0.03393691,0.014595754,-0.05137366,-0.019802116,0.0487227,0.04377435,-0.0053349957
0.03539119,-0.058811747,-0.033369385,-0.033707924,0.033509478,0.0007980019,0.033083595,-0.032380655,-0.005303107,-0.009275839,-0.027089775,0.008288637,0.05594135,-0.025723517,-0.038437016,-0.0489344
