0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.015156075,0.008992631,0.022765528,-0.020805083,-0.01708766,-0.013511017,0.023268089,0.0061793327,-0.023202453,0.009342801,-0.014927492,-0.020298261,0.020558104,-0.017447948,0.001622431,-0.013338517,-0.01081308,-0.013840087,-0.017138261,0.013492417,0.010179762,-0.009249117,-0.01004646,0.010639548,-0.019860856,-0.01550249,-0.0059832744,-0.027935442,0.009892281,0.014492292,0.009756826,-0.012957007
0.01636497,-0.018915642,-0.0062242784,-0.010845222,0.020612255,-0.018998973,0.028534371,0.0017893575,0.024240002,-0.0009785667,-0.0035422593,-0.023560055,0.024379142,0.029240899,-0.010364361,0.0224789,-0.00433179,0.009933107,-0.008452762,0.024713825,0.012753088,0.029815674,0.008468304,0.0012146495,-0.0013019964,0.025467161,-0.021039568,0.0031117313,-0.007225763,-0.009270985,0.022738583,0.008947559
0.029182885,-0.019550383,-0.022913672,-0.026315775,-0.012828045,0.0024890564,-0.022789791,0.01747474,0.02654542,-0.017860003,0.0098213665,-0.02909474,-0.026969828,-0.016487148,0.011255357,-0.009226434,-0.02345369,0.003062334,0.015944693,-0.028145622,0.011780918,0.017189346,0.01876885,-0.020165637,-0.026814464,0.030839663,-0.003661655,-0.027773488,-0.002545368,0.018986017,-0.022817317,0.023167454
0.00572031,0.021382108,-0.00074603036,-0.008400172,-0.02683124,-0.016407948,0.0070111863,0.029083192,-0.030071378,-0.013781402,-0.018628813,0.027465362,0.023934193,-0.0036136955,0.005367376,-0.030773364,-0.0045788325,-0.014663216,-0.025175724,0.026942194,0.017951235,0.0222626,-0.02471105,0.025811166,0.02215226,0.026124284,-0.009307984,-0.015232276,-0.023665056,0.00023270026,-0.030044336,0.030228335
0.022329748,-0.009325143,-0.010931015,0.029973086,0.012197554,-0.031143341,-0.022480011,0.022079375,0.009638026,-0.021756746,0.0016638339,-0.015555304,-0.02099967,-0.013983715,0.019329116,0.030636735,0.0015975237,0.0041174255,0.018682811,-0.009467132,0.006904464,0.011596125,0.0073070005,0.0064358115,0.020720527,0.02670734,-0.014124226,0.023787305,-0.016857311,0.011653837,0.006910272,-0.0055094883
0.008050237,0.005763896,0.02571677,-0.015606049,0.019074757,-0.0030815713,-0.023927767,-0.030297566,-0.005238045,0.025366511,0.0068960264,-0.02805768,0.003823638,-0.011326585,-0.012682043,0.02540584,0.01819557,0.0011259988,0.007657621,0.002814684,-0.031008396,0.0093454905,0.022447087,0.012465373,0.007724151,-0.011086505,0.0073134415,-0.023851939,0.013166416,0.007488154,-0.0012790449,-0.0018691309
0.0066382326,-0.014371563,-0.011045929,0.013679165,0.0025589466,-0.0012869425,-0.017472684,-0.009136334,0.026939113,-0.023291025,-0.0043049753,-0.017801564,-0.011079621,0.017186645,-0.021533404,-0.024132624,0.014430884,0.029040288,0.023082022,-0.0245221,-0.009027783,0.0036155656,0.023982286,-0.028766729,-0.025608178,0.023425288,-0.022952478,0.019972045,0.009694617,-0.017467756,-0.012551211,-0.009231169
0.0015333407,-0.014877807,0.028604172,-0.02007351,0.009606656,-0.014852051,-0.015046153,-0.029571794,0.0057731345,-0.0005210638,-0.025360443,0.013396893,0.013858277,-0.027909037,-0.013031218,0.023405988,-0.023216508,-0.026476115,-0.0017216206,-0.0031219646,0.02675083,0.019198585,0.005398415,0.014401015,-0.029702365,-0.014567804,-0.019904032,0.0070338584,0.015373256,-0.020429913,-0.025229521,0.001634445
0.00467534,0.008453898,-0.03000351,-0.0098141655,0.009339817,-0.011825349,-0.012537643,-0.021436717,-0.030099388,-0.004399609,-0.0026771687,0.012612134,0.0058959126,-0.0057238787,-0.025939729,-0.01373839,-0.027481757,0.0034645274,0.028737921,0.024943806,-0.003635414,-0.026275065,-0.0029688329,-0.000959754,-0.011963226,-0.029413674,0.010661941,-0.025362581,0.010911092,0.014707141,0.029552158,-0.025819544
-0.022366688,-0.016449168,0.011609755,-0.01790683,-0.020198341,0.0218248,0.02559124,0.026767123,0.016499635,-0.024487134,0.004833307,-0.0024736822,-0.015932947,0.011276044,0.009508733,0.021184348,-0.005045455,-8.7961555e-05,-0.005847998,-0.023544643,0.010133088,-0.027076311,0.008125782,-0.021181848,0.009145565,0.00047648326,0.026074443,0.015758213,0.016403023,0.009763341,0.00728748,0.0044816732
