0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.9742067,0.19319142,0.13955791,0.46422482,0.03601209,-1.1394467,-0.54486376,0.10872029,-0.31454802,-0.16055275,0.16882011,-0.8733159,0.5651347,0.33672997,-0.106751315,-0.13499098,-0.640985,0.07795962,-0.13100149,0.2737163,1.4054887,-0.2469785,0.49283537,-1.1493994,-0.24314512,0.47580543,-0.80086213,-0.47579542,0.26991335,0.07335989,0.05338411,-0.14410281,0.20258258,-0.14022917,0.22763787,0.22133036,-0.52274376,0.5124481,0.084731,-0.13463482,0.03571459,0.1097868,-0.5289773,-0.1508823,0.30971456,-0.36225387,-0.11157302,-0.3109867,0.02019,0.26991305,0.22264826,0.29532313,0.7043857,0.9753316,0.13802083,-0.28402323,-0.19832818,-0.611097,-0.20137052,0.3117756,-0.74730664,-0.6596021,-0.4435129,-0.74454516
1.0149772,-0.1922939,1.0010897,0.11590732,0.5149927,-1.1145719,-0.13325018,0.30109948,-0.59646124,-0.2519235,0.5095305,-1.0200936,1.0212595,-0.40663642,-0.32325754,0.1608503,-0.52560645,0.46172643,0.072759986,0.2638093,1.3289673,0.08892963,0.49739245,-0.6790712,-0.10972706,0.22574262,-0.5040022,0.16447103,0.43436074,0.7182993,-0.048334923,-0.7466691,0.08734029,0.10834341,0.25028908,0.12555268,-0.098983996,0.38062787,0.36603665,0.29819843,0.33403674,0.22860079,-0.29366952,0.07743382,-0.014785382,-0.49620602,-0.76523477,-0.28250298,-0.08371684,0.6160997,0.74339145,0.40400016,0.5801992,1.240393,-0.2955031,0.4511688,0.19296856,-0.111937806,-0.014937722,0.14593883,-0.20067245,-0.42482865,-0.07623729,-1.0702772
0.8012081,0.57989967,-0.12855819,0.29696313,-0.07605445,-0.57729006,-0.6113064,0.42049128,-0.33697948,-0.15200374,0.63574797,-1.2656918,0.15678814,0.15090926,-0.5028478,-0.16555774,-0.48612106,0.20460615,0.42647767,0.60566354,0.6316952,0.42338416,-0.023295488,-1.5305327,-0.5620497,0.3938666,-0.83620775,-0.17670463,0.46428186,0.22619826,0.653855,-0.35212687,0.17106406,-0.16939217,0.03524425,-0.0046421355,0.047404308,-0.26363507,0.34883332,0.17602713,-0.18455224,0.3905902,-0.15768708,0.2002544,0.3118561,-0.4910099,0.31674385,0.38287482,-0.12006878,0.5472969,-0.022878539,0.57295865,0.8022175,0.5304539,-0.16156812,-0.46533298,-0.023316387,-1.0032903,-0.47704583,0.29729664,-1.2706226,-0.74956644,-0.555958,-0.88301593
1.2038213,-0.17848219,0.1952853,-0.016858403,0.28033385,-1.1009202,-0.5617957,0.29509002,-0.7737352,-0.3251018,0.057795946,-0.77140033,0.5955807,-0.06611764,-0.23512755,0.6471241,-0.39842078,0.3952082,0.11338255,0.52400625,0.9842022,0.0955213,0.48527083,-0.8933089,-0.17907119,0.2797791,-0.6569034,0.19401991,0.88516784,0.15682113,0.028446544,0.27152854,0.08702175,-0.43340307,0.37619814,-0.36777025,-0.1716046,0.1233387,0.064307235,0.24859926,-0.016327081,0.39546016,-0.23011877,0.048960723,0.45687267,-0.9468074,-0.66761386,-0.113963306,0.09505378,0.5069118,-0.06626445,0.3855825,0.6913437,0.8626796,0.102434225,0.03140873,-0.1743924,-0.36121094,-0.3463052,0.29326823,-0.849077,-0.102255315,-0.1597595,-0.51055205
0.3041859,-0.005820642,0.7128374,0.4373244,0.20990251,-1.299875,-0.70993894,0.37877673,-1.0284983,0.17693084,-0.060934696,-0.085475765,-0.14413437,0.17293073,0.12571672,-0.020700723,-0.40071833,-0.054684706,0.14134507,1.0257372,1.0751455,0.3004601,1.101601,-0.96928895,-0.44981632,0.40155494,-0.38805538,-0.7649587,0.33171824,0.42650196,-0.523625,-0.17224519,0.28604725,-0.15459405,0.34259015,0.14506626,-0.31001163,0.34998462,0.7154096,0.43038234,-0.1980731,0.7042751,-0.108668834,0.13608564,0.84037995,-0.5006231,0.06306165,0.21219541,-0.60032856,0.6600567,0.30904758,0.0011467711,1.3996981,1.1180564,0.6033487,-0.26688182,-0.06442885,-0.5011733,0.12933294,0.6361533,-0.80293953,-0.59043056,-0.2738975,-0.56680685
1.4350568,-0.036566477,-0.12642288,0.19639182,0.078006275,-0.59399176,-0.61664915,0.051721103,-0.80226964,-0.76748085,0.17679584,-0.7616994,0.44690567,0.019074917,-0.32548168,-0.034912422,-0.7780661,0.5141303,-0.17704594,0.14966305,1.3607228,0.1643132,0.7943582,-1.4009757,-0.6115775,0.4179464,-0.55738634,0.4117149,0.58568764,0.9360873,-0.003916601,-0.13173535,0.40516058,-0.3379574,0.335336,-0.1178613,-0.61233795,-0.051046822,0.27787685,0.043454967,0.41280985,0.61478055,-0.21000776,0.07967102,0.12112004,-0.3330619,-0.45894217,0.12081845,0.23693165,0.56844616,0.3955092,0.14898466,0.37360412,1.2969618,0.17015147,0.06390092,0.00080887036,-0.089278035,0.11380889,0.0062850667,-0.8467883,-0.6579369,-0.5353593,-0.47491035
0.6408999,0.6729975,-0.20168364,0.06059917,0.43146873,-0.9349802,-0.4484141,0.12862441,-0.77188545,-0.5487208,0.17022921,-0.5853016,0.26687056,-0.38602236,-0.6382806,-0.34173167,-0.6318428,0.13927871,0.004184017,0.15910183,1.0539877,-0.037740465,0.35622942,-1.2450457,-0.5547958,-0.27154222,-0.97353584,0.09972989,0.39774016,0.3683111,-0.3479373,-0.01019463,-0.21293598,-0.2600384,-0.29552665,0.11661514,-0.35343954,0.5091846,0.32384714,-0.019101724,-0.37142044,-0.00856931,-0.8133732,-0.3671771,0.44119093,-0.39594173,-0.40063712,0.53793097,-0.4570403,0.3432596,0.54468554,0.5139663,0.73515964,1.1675892,0.058928736,-0.55043256,0.032981317,-0.8935104,0.020335076,0.36816758,-0.6602031,-0.56989086,-0.17272195,-0.87104297
0.7077859,-0.37046352,0.3237084,-0.14829852,-0.059589885,-1.3001553,-0.91830695,0.5087379,-0.37582302,-0.3430288,0.18104823,-0.72407085,0.022053283,0.121484205,0.05743603,-0.09083614,-0.59742683,0.30102724,0.28723994,0.21158803,1.455984,0.29462698,0.4606888,-1.5227607,-0.5151892,0.52814084,-0.4199535,0.5475351,0.37845942,0.6068354,-0.24312419,-0.33541864,-0.35155267,-0.20517567,0.06109203,-0.41657123,-0.41658282,0.15150985,0.68812335,0.21988697,0.3049966,0.3959826,-0.39917728,0.0075125853,0.7841052,-0.39361352,0.03832979,0.023775546,-0.20880462,0.32556197,0.43460223,0.753493,0.8995432,1.2586244,0.17416398,-0.06750133,-0.25410306,-0.2375743,-0.32553038,0.627765,-0.4566025,-0.51344156,-0.36224174,-0.5695272
0.7531625,-0.24320343,0.21004538,0.8650901,0.30606067,-0.95161885,-0.57309854,-0.2163406,-0.6303534,-0.76857597,0.04524859,-0.6572226,0.9486331,0.32082397,-0.7553805,-0.70534396,-0.74224645,0.3841867,0.2675118,-0.04504102,0.91744363,1.1142665,0.83489406,-1.4675221,-0.18158317,0.5005221,-0.5480309,-0.29377082,0.28817514,0.2645838,0.16096517,-0.4204961,-0.053269148,0.2148915,0.028299337,-0.1116136,-0.24895503,0.2886928,0.42032334,-0.28967804,0.29387352,0.323033,-0.35391086,-0.43373677,-0.49149004,-0.640399,-0.4458343,-0.1703173,-0.26180655,0.6994547,0.62899584,0.9204935,0.58634084,0.76772135,-0.17448775,-0.23378603,-1.0255405,-0.71708554,-0.23572208,0.7740003,-1.2589556,0.18665208,0.34231398,-0.56265223
1.2497193,-0.36112633,0.28460997,-0.014266296,0.2204976,-0.967189,-0.3896203,0.41100731,-0.75064355,-0.40323117,0.30252194,-0.7475075,0.5247384,-0.27020976,-0.34418842,0.8275522,-0.44188777,0.10146413,0.055455867,0.22094505,1.5464793,0.13309753,0.06953922,-0.74489987,-0.3546315,0.44640207,-0.6467463,0.22293368,0.71624166,0.28566378,-0.13760853,0.29393885,0.1597202,-0.3573257,0.43819678,-0.43272096,0.023927432,-0.08248223,-0.06451949,0.29116973,0.37803733,0.19617677,-0.15480357,0.11675771,0.21092272,-0.9019661,-0.23440896,-0.403791,0.09171223,0.45458195,0.33603734,0.6273311,0.72488165,1.2138618,0.077071734,-0.077167414,-0.3253576,-0.23452334,-0.39799735,0.24693367,-0.3511328,-0.28383467,0.06534297,-0.6730534
